N,P,K,temperature,humidity,ph,rainfall,label
140,105,43,16.59,93.39514240598564,4.64,290.5679378613543,rice
65,131,190,14.84,98.45170045359458,7.54,255.11497998518493,rice
15,78,146,19.2,94.40332991714797,9.38,222.38992571260502,rice
15,121,39,28.47,84.54090311914558,7.18,235.42144749394734,rice
91,118,33,41.78,94.43999413162213,4.44,261.4070392973384,rice
29,17,135,40.83,84.1512811623396,9.74,224.61446523002044,rice
126,71,8,24.61,94.79374790465181,7.43,200.61603627809626,rice
125,37,182,43.47,95.05019035576112,7.35,160.9464531116029,rice
130,51,109,10.07,99.39138890692918,9.42,191.54387719887723,rice
6,84,10,43.14,92.57948439634706,4.91,210.47157968039602,rice
68,137,83,30.8,86.07074261696849,6.41,164.75669256646233,rice
139,74,173,13.98,82.05557491062895,5.16,193.50630495769252,rice
56,13,78,37.57,93.98518438830212,4.66,243.8253400056277,rice
58,118,87,42.77,84.14127447951297,6.27,215.0716423806786,rice
29,50,43,27.64,83.71871043648197,4.19,287.47415590605397,rice
40,115,130,20.02,88.66418400823034,8.95,275.4533996257361,rice
101,8,51,19.38,91.87649909568121,9.01,232.2345955093606,rice
127,64,99,31.89,97.19182139748757,3.91,162.99849991845082,rice
103,123,61,28.38,88.30073850636737,7.94,183.9746799627574,rice
17,127,53,26.57,83.43558043624142,7.02,289.45360488319034,rice
88,121,142,14.07,84.28869473915105,5.41,200.76003433004968,rice
128,82,26,31.14,81.96799690049646,5.98,186.99639370045517,rice
111,16,58,33.57,87.07123475518493,5.48,193.85112606195733,rice
27,93,97,13.04,80.80196084564734,9.2,295.1286057908538,rice
24,10,94,38.58,86.42443223403873,9.47,168.60880316823742,rice
14,89,40,40.48,83.05995186227382,6.26,217.21931221317536,rice
114,49,83,25.94,96.04967350412876,8.37,155.5329502370371,rice
47,37,201,25.56,90.66662471592538,3.66,222.7474856562793,rice
48,11,135,17.48,86.36257130514625,5.16,236.48179979039432,rice
94,76,145,39.17,90.17529623858357,4.25,244.75943123520562,rice
72,28,151,39.31,26.7,7.49,203.29,maize
101,76,152,33.56,64.71,9.65,90.37,maize
30,101,172,40.21,25.43,9.79,122.34,maize
88,102,196,30.18,78.95,5.04,129.48,maize
126,133,25,26.99,86.92,5.64,155.89,maize
78,113,94,33.16,73.57,9.44,216.56,maize
106,43,182,28.71,68.21,9.7,129.36,maize
23,143,46,20.1,48.15,5.78,279.48,maize
126,91,51,41.11,60.67,9.43,257.39,maize
108,139,29,38.02,39.14,5.58,146.36,maize
47,79,31,17.07,86.16,6.24,162.43,maize
108,98,131,18.04,37.01,7.29,137.95,maize
91,68,152,25.31,17.14,5.75,140.35,maize
4,54,36,38.88,48.33,5.23,146.06,maize
130,36,194,12.06,38.58,8.11,92.18,maize
140,120,60,26.83,49.64,6.5,70.43,maize
89,78,86,32.56,74.87,4.31,38.27,maize
57,87,162,42.06,27.09,3.63,93.56,maize
54,5,19,43.29,36.66,9.69,90.34,maize
70,22,106,9.75,30.12,3.54,108.41,maize
3,110,40,23.8,24.57,7.64,162.87,maize
76,67,120,39.91,72.89,7.13,98.66,maize
104,106,69,33.58,77.94,5.19,110.63,maize
26,52,174,36.83,57.35,7.37,80.42,maize
128,94,65,10.87,16.19,9.87,112.51,maize
115,28,72,22.92,62.1,8.98,106.62,maize
54,6,75,18.31,98.58,8.9,89.4,maize
55,50,84,9.6,97.03,6.47,234.64,maize
49,29,6,41.96,37.03,8.61,223.47,maize
39,141,143,30.24,63.85,3.79,250.52,maize
2,108,165,15.7,94.31,4.2,288.69,maize
49,108,21,21.1,69.86,6.85,199.72,maize
24,73,54,13.95,67.71,7.38,205.81,maize
47,37,193,41.28,65.04,5.28,225.98,maize
96,124,183,12.58,50.33,9.6,282.92,maize
126,133,47,38.15,93.26,9.47,138.05,maize
67,72,201,33.39,65.5,5.13,90.31,maize
20,31,179,31.02,88.8,5.87,33.89,maize
5,19,58,24.38,60.02,5.64,273.98,maize
79,86,115,16.2,97.22,7.65,291.38,maize
93,47,38,27.5,68.54,7.99,129.93,maize
103,71,54,41.54,28.98,5.69,217.04,maize
60,9,138,34.71,36.97,6.75,133.37,maize
17,21,151,10.64,19.91,8.38,80.97,maize
85,142,154,28.28,44.28,9.62,21.78,maize
7,134,138,27.93,69.96,6.28,104.24,maize
138,6,98,32.36,62.45,4.68,236.37,maize
129,143,109,16.9,14.22,5.26,218.52,maize
103,15,164,19.2,86.91,7.7,181.3,maize
132,44,86,11.46,28.45,5.02,274.45,maize
84,106,110,32.94,46.42,5.96,178.81,maize
130,130,37,40.56,89.53,3.98,288.97,maize
58,74,13,29.53,50.16,6.83,144.1,maize
21,81,112,36.79,92.39,4.13,292.35,maize
75,131,65,11.93,27.22,5.07,64.33,maize
15,87,98,10.78,36.92,5.62,42.51,maize
98,137,66,10.57,92.77,6.07,48.95,maize
92,56,34,22.04,83.86,5.23,230.59,maize
113,28,181,30.76,73.12,8.28,64.52,maize
24,123,83,42.5,59.75,5.83,132.98,maize
137,50,50,16.87,80.27,4.01,74.27,maize
37,131,101,30.15,27.84,4.82,39.81,maize
92,125,199,26.17,27.31,7.54,226.39,maize
100,82,84,29.48,38.03,4.89,271.06,maize
72,133,63,13.95,96.62,6.8,202.36,maize
57,97,21,12.68,50.97,7.33,115.66,maize
3,101,52,12.55,41.98,4.83,66.74,maize
106,112,141,40.13,69.61,7.41,79.23,maize
12,79,92,28.35,39.32,9.18,42.71,maize
48,75,161,28.44,62.6,6.97,153.93,maize
76,47,91,34.97,82.95,5.48,39.97,maize
37,99,183,12.76,60.8,7.68,137.92,maize
30,137,129,25.45,69.53,7.69,223.67,maize
41,63,165,28.47,24.14,7.69,157.09,maize
26,17,170,29.18,41.63,4.61,288.75,maize
49,80,31,27.74,46.66,4.51,151.86,maize
122,34,95,21.45,64.65,9.46,268.86,maize
125,25,108,40.32,46.52,9.36,61.48,maize
122,13,132,41.34,62.45,3.89,191.9,maize
100,118,14,41.42,20.0,5.62,173.12,maize
10,60,191,39.89,68.73,9.75,253.84,maize
106,69,79,17.8,92.27,4.11,148.85,maize
33,6,24,43.39,61.08,9.78,248.43,maize
125,92,145,13.13,22.13,9.5,76.99,maize
97,138,110,31.73,41.92,8.5,52.06,maize
38,85,95,14.12,17.87,9.37,189.63,maize
126,58,113,22.47,18.74,6.44,143.82,maize
55,98,57,20.75,40.75,8.1,183.52,maize
18,23,200,16.17,51.57,6.95,234.19,maize
30,84,117,33.17,85.94,6.83,24.65,maize
66,87,30,16.49,95.34,4.84,104.33,maize
12,79,58,12.24,14.5,6.28,290.34,maize
113,141,180,19.78,44.07,7.89,128.13,maize
61,125,159,38.93,75.65,9.1,237.36,maize
45,132,153,30.39,22.1,7.39,263.88,maize
53,42,161,15.35,85.1,8.72,112.76,maize
24,144,73,41.8,62.55,6.02,57.23,maize
12,19,182,32.33,94.82,6.8,108.52,maize
99,128,161,37.7,17.75,3.6,95.42,maize
96,7,26,36.47,95.51,8.53,107.38,maize
125,62,78,30.44,68.17,8.27,267.95,chickpea
23,51,118,26.04,39.51,9.42,251.93,chickpea
59,88,32,14.7,34.45,4.27,237.19,chickpea
71,140,103,19.33,94.19,3.68,95.27,chickpea
138,55,116,24.79,68.38,5.36,82.66,chickpea
1,90,36,28.7,75.07,7.16,177.96,chickpea
109,19,110,23.43,50.41,6.38,157.22,chickpea
47,133,112,15.86,41.59,6.59,197.96,chickpea
44,72,58,40.38,60.84,8.77,173.1,chickpea
88,41,23,31.87,30.73,5.87,258.13,chickpea
29,142,180,37.34,82.2,5.73,164.04,chickpea
48,72,37,36.31,44.32,6.96,73.08,chickpea
59,45,171,16.51,38.08,6.45,33.22,chickpea
67,35,149,30.18,89.55,4.09,31.93,chickpea
64,103,181,26.79,76.51,4.87,204.98,chickpea
17,35,62,20.37,95.47,5.89,84.75,chickpea
101,140,186,15.87,31.42,6.76,212.21,chickpea
53,33,202,26.22,27.86,9.28,147.75,chickpea
96,112,162,36.26,83.54,5.26,139.1,chickpea
125,144,25,16.61,67.64,8.07,23.46,chickpea
15,112,155,23.1,72.98,9.06,119.02,chickpea
78,34,120,12.85,91.7,3.99,145.71,chickpea
4,107,194,20.05,98.81,9.77,234.41,chickpea
53,50,191,39.41,71.32,8.46,37.48,chickpea
85,73,13,18.27,82.34,8.8,292.05,chickpea
84,48,105,32.74,90.23,6.62,157.2,chickpea
15,114,200,41.91,76.23,9.23,284.17,chickpea
97,133,110,13.38,72.53,8.13,265.74,chickpea
45,106,23,18.24,53.45,4.75,279.35,chickpea
90,98,188,29.65,62.16,4.02,91.24,chickpea
2,99,156,11.15,62.05,8.52,166.61,chickpea
9,65,32,34.37,15.0,6.7,84.48,chickpea
84,43,7,14.68,51.74,4.91,288.61,chickpea
29,9,97,23.36,65.18,5.99,117.23,chickpea
34,18,182,18.24,62.85,7.78,65.53,chickpea
24,45,192,15.74,20.59,9.06,116.92,chickpea
20,25,184,25.6,33.3,8.48,137.9,chickpea
2,140,59,28.89,56.09,7.83,249.34,chickpea
110,73,42,25.46,92.72,8.76,179.12,chickpea
134,19,99,28.51,90.51,5.37,247.11,chickpea
51,127,147,22.16,94.15,4.31,264.29,chickpea
122,86,72,24.88,92.98,6.71,111.18,chickpea
124,65,31,27.81,94.59,6.58,277.34,chickpea
54,141,182,42.94,39.96,6.52,267.67,chickpea
60,40,172,24.68,96.95,3.63,231.17,chickpea
132,15,155,39.91,81.99,9.28,234.17,chickpea
32,17,6,27.52,44.24,4.21,93.75,chickpea
103,90,56,20.29,56.69,4.09,225.12,chickpea
124,131,38,33.75,58.04,5.61,58.96,chickpea
115,14,121,32.17,84.93,6.09,290.57,chickpea
121,144,98,10.79,68.76,4.25,183.83,chickpea
66,38,127,36.95,62.37,6.75,163.69,chickpea
25,84,82,31.28,44.45,3.84,249.62,chickpea
84,23,36,38.62,32.26,5.06,176.46,chickpea
7,69,63,20.66,61.91,4.84,203.31,chickpea
36,41,147,24.15,72.13,5.99,109.86,chickpea
76,82,21,9.24,18.6,5.21,91.11,chickpea
98,128,16,14.36,72.02,5.32,129.34,chickpea
43,18,152,36.35,30.8,4.91,56.78,chickpea
4,55,38,36.8,93.46,4.89,135.61,chickpea
15,34,79,31.72,50.26,3.57,204.34,chickpea
34,122,131,40.18,64.28,8.86,21.99,chickpea
112,12,112,42.96,46.91,5.88,193.55,chickpea
19,139,53,27.51,90.99,5.57,91.68,chickpea
43,97,58,29.03,73.16,6.5,148.59,chickpea
46,33,65,26.92,43.46,8.36,220.22,chickpea
122,31,194,9.7,39.81,6.05,80.82,chickpea
127,99,196,29.93,20.93,6.7,96.9,chickpea
65,96,154,38.11,90.68,6.91,61.82,chickpea
7,50,43,43.04,36.49,7.18,43.15,chickpea
66,43,111,13.4,17.0,6.73,113.66,chickpea
117,35,5,19.91,15.92,6.82,187.55,chickpea
33,57,49,41.84,70.95,7.62,233.2,chickpea
58,77,177,28.9,83.39,9.46,70.17,chickpea
122,113,49,40.13,88.17,5.79,196.97,chickpea
69,79,199,24.56,26.37,7.07,112.83,chickpea
101,114,126,37.02,83.04,7.99,42.62,chickpea
95,55,117,14.38,28.77,8.39,52.24,chickpea
24,20,56,38.88,90.28,5.42,167.43,chickpea
88,58,159,13.34,71.29,6.3,258.9,chickpea
120,119,166,27.95,52.44,5.82,57.96,chickpea
24,131,135,13.71,81.9,5.11,154.45,chickpea
115,117,142,30.08,49.06,4.26,272.31,chickpea
16,56,93,15.48,15.11,9.05,277.29,chickpea
27,114,138,26.56,25.34,5.75,29.01,chickpea
19,68,6,28.17,46.83,3.97,278.21,chickpea
39,31,173,26.83,66.35,3.97,33.02,chickpea
85,98,100,39.55,93.13,7.91,141.1,chickpea
9,27,34,9.34,87.38,7.02,151.74,chickpea
13,48,56,24.01,25.32,5.0,129.64,chickpea
137,60,78,28.74,88.38,7.36,277.32,chickpea
120,42,48,39.25,84.98,4.38,46.05,chickpea
42,115,156,37.78,67.93,7.55,144.34,chickpea
68,112,85,37.12,28.35,4.94,215.71,chickpea
98,14,203,13.79,31.92,7.05,215.66,chickpea
1,124,60,34.63,53.3,9.08,111.54,chickpea
115,100,151,23.1,18.02,7.98,289.41,chickpea
19,115,15,36.78,49.0,6.14,22.94,chickpea
140,20,95,9.37,29.28,8.64,162.82,chickpea
77,121,141,10.9,56.07,5.03,70.53,chickpea
133,121,187,17.77,86.86,5.94,115.21,kidneybeans
33,64,148,23.33,32.24,6.99,164.12,kidneybeans
132,129,19,26.1,32.16,5.33,240.02,kidneybeans
17,83,169,39.36,71.59,6.92,254.46,kidneybeans
86,95,48,26.55,80.86,8.52,293.14,kidneybeans
97,89,46,23.47,16.39,9.27,26.74,kidneybeans
112,104,120,28.53,35.15,7.93,89.42,kidneybeans
27,89,185,32.18,64.37,7.36,132.63,kidneybeans
72,98,200,11.01,75.25,7.88,162.89,kidneybeans
107,93,90,22.37,55.14,6.11,278.88,kidneybeans
101,87,162,27.51,56.87,9.27,85.27,kidneybeans
71,104,113,39.74,75.81,5.11,258.61,kidneybeans
73,25,155,12.94,31.73,8.94,77.72,kidneybeans
74,109,74,11.04,78.92,4.35,179.13,kidneybeans
57,48,32,31.41,43.44,8.59,197.65,kidneybeans
77,30,203,36.72,62.48,8.92,257.0,kidneybeans
82,20,163,43.6,21.02,5.23,267.47,kidneybeans
101,115,39,37.84,98.08,6.89,36.13,kidneybeans
76,117,164,33.28,53.08,9.5,257.65,kidneybeans
85,145,171,40.66,86.59,8.84,205.96,kidneybeans
89,93,47,43.5,66.68,7.27,181.59,kidneybeans
73,132,136,30.59,89.83,7.89,187.2,kidneybeans
40,133,104,36.28,80.64,4.11,219.64,kidneybeans
27,129,71,33.86,50.25,9.73,174.97,kidneybeans
73,61,25,13.0,80.11,6.16,168.77,kidneybeans
35,105,95,30.96,80.54,7.98,215.05,kidneybeans
13,13,142,25.36,85.21,7.6,45.44,kidneybeans
23,102,18,12.68,43.97,7.86,70.69,kidneybeans
0,36,6,29.2,74.85,6.79,284.86,kidneybeans
78,67,198,34.91,46.87,7.73,295.97,kidneybeans
29,75,163,15.94,32.53,5.85,150.7,kidneybeans
8,49,41,39.07,81.86,5.48,157.26,kidneybeans
48,26,46,21.32,78.81,4.06,204.24,kidneybeans
16,116,161,15.55,78.77,9.61,243.34,kidneybeans
0,41,20,15.73,47.89,7.46,165.0,kidneybeans
80,101,32,30.62,35.99,8.5,286.74,kidneybeans
90,55,50,16.46,35.86,9.19,52.91,kidneybeans
91,130,59,13.07,41.75,6.22,247.8,kidneybeans
30,41,19,39.5,52.04,3.7,148.36,kidneybeans
103,64,130,42.35,80.04,7.64,267.08,kidneybeans
34,125,9,9.75,31.35,9.39,190.78,kidneybeans
15,119,17,16.06,33.76,5.61,57.6,kidneybeans
114,36,104,37.37,97.54,8.54,75.92,kidneybeans
45,11,202,33.05,85.78,8.92,273.81,kidneybeans
80,108,133,42.58,74.55,6.26,35.75,kidneybeans
3,116,43,10.7,91.33,6.41,59.97,kidneybeans
9,70,36,13.69,17.66,7.87,282.5,kidneybeans
56,84,66,22.31,97.53,8.17,73.6,kidneybeans
48,84,5,28.89,95.64,5.84,81.21,kidneybeans
38,138,118,25.88,27.01,5.84,85.6,kidneybeans
86,134,148,22.98,39.0,8.45,82.44,kidneybeans
118,16,66,19.92,84.33,8.68,153.25,kidneybeans
120,86,182,38.74,66.5,8.91,241.68,kidneybeans
85,69,153,32.1,24.55,9.22,194.89,kidneybeans
6,112,95,22.47,51.22,7.12,65.39,kidneybeans
122,132,164,42.52,46.53,7.28,83.31,kidneybeans
34,5,160,29.83,69.45,4.64,41.91,kidneybeans
76,106,77,35.16,74.98,6.71,41.49,kidneybeans
89,92,34,12.3,42.3,8.18,90.08,kidneybeans
127,107,187,16.28,37.63,7.46,181.39,kidneybeans
16,105,53,31.54,30.37,8.52,296.82,kidneybeans
74,54,143,38.48,52.86,7.29,48.52,kidneybeans
109,126,175,10.52,58.25,3.74,279.15,kidneybeans
58,120,178,37.26,43.56,4.54,61.82,kidneybeans
65,73,49,17.56,94.83,9.14,229.26,kidneybeans
80,94,21,27.25,67.61,7.48,284.14,kidneybeans
119,51,186,37.15,87.35,3.83,87.32,kidneybeans
97,139,61,32.33,60.51,6.92,128.84,kidneybeans
41,116,188,35.04,56.95,6.64,175.11,kidneybeans
76,144,182,31.97,28.16,6.63,200.94,kidneybeans
8,105,12,37.47,40.37,5.82,266.21,kidneybeans
52,57,43,19.93,28.64,9.18,65.34,kidneybeans
51,71,145,8.98,99.66,8.12,146.83,kidneybeans
83,77,104,22.25,50.84,5.55,196.41,kidneybeans
110,114,29,23.83,80.49,6.68,186.1,kidneybeans
99,11,8,14.27,23.36,6.43,269.83,kidneybeans
4,136,148,39.5,16.99,7.94,263.85,kidneybeans
75,47,32,16.05,57.21,4.19,44.25,kidneybeans
109,44,80,39.51,67.58,6.46,202.85,kidneybeans
11,65,54,35.34,65.94,8.63,33.42,kidneybeans
36,46,134,36.43,28.39,9.12,203.18,kidneybeans
30,96,68,42.01,84.88,4.25,40.09,kidneybeans
30,68,78,18.79,48.89,5.99,264.29,kidneybeans
0,110,86,21.79,18.05,8.91,181.19,kidneybeans
138,78,48,24.74,89.7,4.75,292.32,kidneybeans
77,64,154,16.36,72.86,4.66,50.02,kidneybeans
55,89,14,16.81,16.08,3.51,274.6,kidneybeans
79,140,197,31.08,23.53,8.03,56.24,kidneybeans
12,33,162,9.25,14.64,4.72,55.95,kidneybeans
137,127,78,41.98,34.91,7.39,176.09,kidneybeans
25,43,146,9.81,39.93,4.7,250.01,kidneybeans
74,96,165,34.17,91.39,9.48,118.71,kidneybeans
8,135,35,22.06,44.01,4.87,281.48,kidneybeans
18,135,191,11.13,97.49,7.14,139.74,kidneybeans
76,120,101,10.93,41.62,5.48,217.81,kidneybeans
14,124,47,22.14,54.5,8.25,231.77,kidneybeans
44,81,57,17.91,77.56,8.36,242.11,kidneybeans
59,15,98,19.77,49.23,9.26,96.97,kidneybeans
125,19,36,9.47,61.59,9.79,206.38,kidneybeans
17,7,173,32.33,88.47,5.17,283.46,kidneybeans
39,17,28,35.53,83.04,8.95,207.8,pigeonpeas
131,23,190,19.63,86.09,6.94,295.73,pigeonpeas
111,61,81,12.19,19.71,4.06,121.56,pigeonpeas
85,98,80,15.21,76.34,4.92,118.72,pigeonpeas
102,104,21,17.94,64.41,8.96,279.74,pigeonpeas
85,66,16,31.02,83.47,6.74,278.26,pigeonpeas
138,67,52,25.45,40.18,6.04,142.38,pigeonpeas
108,116,140,12.28,43.28,8.84,62.76,pigeonpeas
43,11,159,27.96,91.29,7.95,217.25,pigeonpeas
92,114,26,21.23,83.62,6.39,25.58,pigeonpeas
21,58,90,9.88,48.57,5.35,116.81,pigeonpeas
56,46,59,32.18,68.44,7.02,64.92,pigeonpeas
119,10,184,27.55,38.07,6.7,94.3,pigeonpeas
84,14,203,14.71,72.27,6.14,102.69,pigeonpeas
63,23,22,20.8,64.55,7.41,48.1,pigeonpeas
106,64,94,18.16,60.69,8.77,167.9,pigeonpeas
23,122,74,12.61,84.71,3.65,58.4,pigeonpeas
29,145,123,33.06,82.34,6.17,81.1,pigeonpeas
35,112,35,15.02,70.58,4.86,32.97,pigeonpeas
100,24,203,18.36,73.2,9.86,200.1,pigeonpeas
1,34,17,38.91,59.45,6.02,63.82,pigeonpeas
67,65,9,38.81,19.54,8.29,258.6,pigeonpeas
41,143,11,39.12,29.87,4.56,201.27,pigeonpeas
7,50,134,17.22,54.8,7.13,219.9,pigeonpeas
131,30,173,12.31,69.22,8.23,287.71,pigeonpeas
98,5,40,34.75,30.99,8.84,20.06,pigeonpeas
132,141,186,40.91,46.51,7.4,291.13,pigeonpeas
26,145,20,32.22,65.0,4.82,24.19,pigeonpeas
126,87,46,32.4,29.44,5.24,111.06,pigeonpeas
34,106,192,22.38,75.43,5.4,161.65,pigeonpeas
125,88,46,21.17,89.84,5.02,181.75,pigeonpeas
85,109,60,41.21,62.26,8.91,250.64,pigeonpeas
88,30,58,25.85,94.94,9.1,136.84,pigeonpeas
56,138,149,41.24,37.4,7.36,127.42,pigeonpeas
95,139,104,39.61,62.28,7.0,71.19,pigeonpeas
36,41,106,40.06,60.76,4.13,91.76,pigeonpeas
72,138,165,31.34,30.42,8.12,97.13,pigeonpeas
109,43,26,26.1,58.31,4.92,108.82,pigeonpeas
43,9,144,13.6,67.55,4.67,292.01,pigeonpeas
49,21,181,22.52,32.57,4.66,290.74,pigeonpeas
10,127,43,9.19,64.49,7.65,149.04,pigeonpeas
75,33,143,23.86,62.68,7.87,64.0,pigeonpeas
35,104,200,21.59,29.61,6.06,293.79,pigeonpeas
71,49,79,12.71,34.24,7.57,155.17,pigeonpeas
8,78,89,38.29,93.72,9.3,207.98,pigeonpeas
126,124,164,23.78,83.01,7.96,46.92,pigeonpeas
60,125,188,16.17,14.04,6.36,145.92,pigeonpeas
99,117,20,41.37,67.1,8.95,141.92,pigeonpeas
95,125,84,41.5,94.49,7.51,57.53,pigeonpeas
96,8,67,12.74,49.9,5.16,131.44,pigeonpeas
64,73,111,28.67,29.44,5.99,260.36,pigeonpeas
57,42,162,12.81,82.95,4.18,166.96,pigeonpeas
127,107,23,24.1,45.02,9.0,218.13,pigeonpeas
98,108,15,39.56,73.73,6.74,68.16,pigeonpeas
121,99,138,40.78,33.95,4.94,66.02,pigeonpeas
105,128,44,42.42,85.42,9.47,155.06,pigeonpeas
75,78,204,19.59,90.99,7.96,130.59,pigeonpeas
108,17,56,37.51,67.81,4.43,292.95,pigeonpeas
126,11,170,22.87,18.93,4.32,210.28,pigeonpeas
91,121,143,21.62,25.98,8.43,254.79,pigeonpeas
30,81,11,35.02,45.03,7.8,158.06,pigeonpeas
27,127,54,13.85,57.8,4.1,294.41,pigeonpeas
83,115,57,10.88,68.98,3.8,30.34,pigeonpeas
77,43,189,23.12,34.96,7.06,102.97,pigeonpeas
129,69,12,36.14,56.56,3.68,27.41,pigeonpeas
47,57,18,25.64,60.49,3.98,33.52,pigeonpeas
134,111,156,25.68,94.45,9.07,249.12,pigeonpeas
8,117,132,13.13,88.87,8.28,114.15,pigeonpeas
100,39,157,16.84,19.57,4.28,122.44,pigeonpeas
20,8,96,12.65,57.15,5.26,277.53,pigeonpeas
35,8,113,38.44,55.15,7.7,173.92,pigeonpeas
108,85,82,17.43,77.85,4.03,126.27,pigeonpeas
132,139,100,38.86,44.68,6.39,291.52,pigeonpeas
85,102,71,20.01,35.47,6.01,79.89,pigeonpeas
123,80,52,41.94,60.07,9.53,148.56,pigeonpeas
133,115,24,11.59,93.09,8.59,214.4,pigeonpeas
16,100,56,10.96,95.23,9.13,270.28,pigeonpeas
140,137,27,18.11,49.54,6.28,262.99,pigeonpeas
22,122,90,22.69,39.82,6.24,36.7,pigeonpeas
136,126,172,16.83,76.21,4.4,279.27,pigeonpeas
38,41,54,25.03,84.95,7.66,72.09,pigeonpeas
15,35,39,17.08,65.61,7.68,106.89,pigeonpeas
133,75,64,22.04,93.28,3.98,131.76,pigeonpeas
39,119,19,43.01,73.26,5.02,23.23,pigeonpeas
134,15,201,17.66,73.9,6.41,50.13,pigeonpeas
